评分,内容,版本,时间,情绪指数,问题类别,风险标签
4,视频流畅，加载很快,2.0.0,2026-06-28,100,功能,低风险
2,客服完全联系不上，太失望了,2.0.0,2026-07-21,23,账号,低风险
5,内容丰富，种草体验很好,2.1.0,2026-07-09,84,内容,低风险
1,评论区被水军刷屏,1.9.0,2026-07-29,11,广告,高风险
4,直播体验不错，带货实在,2.0.0,2026-06-29,76,功能,低风险
4,直播体验不错，带货实在,2.1.0,2026-06-26,97,内容,低风险
3,偶尔用用，没啥特别感觉,1.9.0,2026-07-02,60,内容,低风险
5,视频流畅，加载很快,2.0.0,2026-06-08,85,内容,低风险
2,客服完全联系不上，太失望了,1.8.0,2026-06-07,3,客服,高风险
5,攻略很实用，收藏了很多,1.9.0,2026-06-16,67,社区,低风险
3,功能还行，中规中矩,2.0.0,2026-06-19,57,内容,低风险
1,隐私设置形同虚设,2.1.0,2026-07-30,9,客服,高风险
3,功能还行，中规中矩,1.8.0,2026-07-02,49,其他,低风险
4,攻略很实用，收藏了很多,2.1.0,2026-06-01,94,搜索,中风险
3,一般般，没有惊喜,1.8.0,2026-06-03,55,其他,低风险
5,购物链路顺畅，下单方便,2.0.0,2026-06-10,93,电商,低风险
2,广告越来越多，推荐质量下降,2.1.0,2026-06-28,22,客服,低风险
1,无故封号，申诉没人理,1.9.0,2026-07-03,9,客服,高风险
2,更新后经常闪退，体验很差,1.8.0,2026-06-09,0,客服,高风险
4,购物链路顺畅，下单方便,2.0.0,2026-07-12,79,电商,低风险
3,界面还可以，就是偶尔卡顿,1.8.0,2026-07-18,50,内容,低风险
4,购物链路顺畅，下单方便,2.1.0,2026-07-22,77,内容,中风险
1,广告越来越多，推荐质量下降,1.9.0,2026-06-10,24,功能,中风险
3,一般般，没有惊喜,2.1.0,2026-07-25,59,其他,中风险
5,攻略很实用，收藏了很多,1.9.0,2026-06-20,89,社区,低风险
4,推荐算法不错，经常有好物,2.1.0,2026-07-15,79,搜索,中风险
3,功能还行，中规中矩,1.8.0,2026-06-22,44,内容,低风险
5,推荐算法不错，经常有好物,1.9.0,2026-07-05,93,社区,中风险
5,社区氛围好，互动很积极,2.0.0,2026-07-02,70,功能,低风险
5,视频流畅，加载很快,1.9.0,2026-06-14,70,搜索,中风险
2,笔记被限流，流量骤降,1.9.0,2026-07-15,6,账号,高风险
2,更新后经常闪退，体验很差,1.8.0,2026-06-09,6,功能,高风险
2,更新后经常闪退，体验很差,1.9.0,2026-06-15,21,账号,低风险
3,界面还可以，就是偶尔卡顿,1.9.0,2026-06-24,53,其他,中风险
5,推荐算法不错，经常有好物,2.1.0,2026-06-10,83,搜索,低风险
5,内容丰富，种草体验很好,1.9.0,2026-07-07,67,社区,低风险
2,搜索功能越来越难用,2.0.0,2026-06-06,4,客服,高风险
3,一般般，没有惊喜,1.8.0,2026-07-12,40,功能,低风险
3,偶尔用用，没啥特别感觉,1.8.0,2026-06-03,49,其他,低风险
4,直播体验不错，带货实在,2.0.0,2026-06-01,94,内容,低风险
1,笔记被限流，流量骤降,1.9.0,2026-07-17,7,账号,高风险
5,攻略很实用，收藏了很多,2.1.0,2026-06-23,88,内容,低风险
2,账号莫名被禁言，没有任何通知,1.9.0,2026-06-23,24,广告,低风险
3,界面还可以，就是偶尔卡顿,2.0.0,2026-07-08,27,其他,低风险
4,笔记质量高，信息量很大,2.1.0,2026-07-13,88,社区,低风险
2,账号莫名被禁言，没有任何通知,2.1.0,2026-06-11,0,账号,高风险
4,内容丰富，种草体验很好,1.9.0,2026-07-20,62,内容,低风险
4,界面简洁，用起来很顺手,1.9.0,2026-07-11,85,社区,低风险
5,笔记质量高，信息量很大,2.0.0,2026-07-07,75,电商,低风险
5,搜索准确，找东西方便多了,1.9.0,2026-07-08,60,内容,低风险
4,推荐算法不错，经常有好物,1.8.0,2026-07-01,82,社区,低风险
4,直播体验不错，带货实在,2.1.0,2026-06-21,87,社区,低风险
5,搜索准确，找东西方便多了,2.0.0,2026-06-05,64,内容,中风险
5,推荐算法不错，经常有好物,1.9.0,2026-06-28,80,内容,低风险
3,功能还行，中规中矩,2.1.0,2026-07-30,31,功能,中风险
1,评论区被水军刷屏,1.8.0,2026-07-15,13,广告,高风险
4,内容丰富，种草体验很好,1.8.0,2026-06-12,82,社区,低风险
1,广告越来越多，推荐质量下降,2.0.0,2026-07-24,0,客服,高风险
3,一般般，没有惊喜,1.9.0,2026-07-10,25,其他,低风险
1,账号莫名被禁言，没有任何通知,1.8.0,2026-07-15,0,客服,高风险
5,社区氛围好，互动很积极,2.0.0,2026-07-13,86,内容,低风险
4,购物链路顺畅，下单方便,1.9.0,2026-07-07,93,功能,低风险
4,推荐算法不错，经常有好物,2.1.0,2026-07-12,64,内容,低风险
4,社区氛围好，互动很积极,1.9.0,2026-07-14,95,功能,低风险
5,笔记质量高，信息量很大,1.8.0,2026-06-26,86,搜索,中风险
4,购物链路顺畅，下单方便,2.0.0,2026-06-05,72,内容,低风险
5,直播体验不错，带货实在,1.8.0,2026-07-24,82,电商,低风险
5,界面简洁，用起来很顺手,1.8.0,2026-06-17,62,功能,低风险
3,功能还行，中规中矩,1.8.0,2026-06-24,44,功能,中风险
4,社区氛围好，互动很积极,2.0.0,2026-07-29,86,搜索,低风险
5,搜索准确，找东西方便多了,2.1.0,2026-07-04,75,社区,低风险
3,界面还可以，就是偶尔卡顿,2.0.0,2026-07-13,47,其他,低风险
3,偶尔用用，没啥特别感觉,1.9.0,2026-07-27,47,内容,低风险
4,笔记质量高，信息量很大,2.1.0,2026-07-18,65,功能,低风险
3,界面还可以，就是偶尔卡顿,1.8.0,2026-06-09,43,内容,低风险
4,视频流畅，加载很快,2.1.0,2026-07-24,64,电商,低风险
2,内容审核乱封号，误伤严重,1.9.0,2026-07-29,10,内容,高风险
3,功能还行，中规中矩,1.8.0,2026-06-15,53,功能,低风险
5,直播体验不错，带货实在,2.0.0,2026-06-15,63,功能,中风险
1,笔记被限流，流量骤降,2.0.0,2026-07-28,7,广告,高风险
5,界面简洁，用起来很顺手,1.9.0,2026-07-29,76,电商,低风险
4,笔记质量高，信息量很大,1.9.0,2026-06-16,68,社区,低风险
4,笔记质量高，信息量很大,2.1.0,2026-06-13,66,电商,中风险
4,直播体验不错，带货实在,2.0.0,2026-07-18,93,功能,中风险
3,一般般，没有惊喜,1.8.0,2026-07-15,54,功能,低风险
3,一般般，没有惊喜,2.1.0,2026-06-13,56,功能,低风险
4,社区氛围好，互动很积极,2.0.0,2026-07-18,65,搜索,低风险
2,账号莫名被禁言，没有任何通知,1.8.0,2026-06-03,0,广告,高风险
5,笔记质量高，信息量很大,2.0.0,2026-06-15,92,搜索,低风险
5,搜索准确，找东西方便多了,2.0.0,2026-07-01,85,搜索,低风险
2,客服完全联系不上，太失望了,2.1.0,2026-06-08,15,账号,高风险
5,视频流畅，加载很快,1.9.0,2026-06-03,68,社区,中风险
3,用了一阵子，感觉普通,2.1.0,2026-06-01,37,其他,低风险
4,推荐算法不错，经常有好物,1.9.0,2026-06-10,62,搜索,低风险
3,偶尔用用，没啥特别感觉,2.1.0,2026-06-14,30,其他,低风险
5,购物链路顺畅，下单方便,1.9.0,2026-07-18,94,功能,低风险
5,搜索准确，找东西方便多了,2.1.0,2026-07-11,94,功能,低风险
3,一般般，没有惊喜,2.1.0,2026-06-27,48,其他,低风险
5,界面简洁，用起来很顺手,1.9.0,2026-07-26,76,功能,中风险
4,笔记质量高，信息量很大,2.1.0,2026-06-19,66,搜索,低风险
4,社区氛围好，互动很积极,2.1.0,2026-07-08,100,内容,中风险
4,攻略很实用，收藏了很多,1.9.0,2026-06-08,60,社区,低风险
1,广告越来越多，推荐质量下降,1.9.0,2026-07-28,19,功能,高风险
5,视频流畅，加载很快,2.0.0,2026-06-21,93,电商,低风险
5,笔记质量高，信息量很大,1.8.0,2026-06-25,73,内容,低风险
3,界面还可以，就是偶尔卡顿,2.0.0,2026-07-02,43,内容,低风险
5,搜索准确，找东西方便多了,1.8.0,2026-07-23,94,功能,中风险
4,直播体验不错，带货实在,2.0.0,2026-07-09,100,社区,低风险
5,笔记质量高，信息量很大,1.9.0,2026-06-19,77,电商,低风险
5,攻略很实用，收藏了很多,2.1.0,2026-06-17,86,内容,低风险
2,内容审核乱封号，误伤严重,2.0.0,2026-07-06,8,内容,高风险
1,广告越来越多，推荐质量下降,2.1.0,2026-07-07,19,账号,高风险
4,视频流畅，加载很快,2.0.0,2026-07-12,69,电商,中风险
5,视频流畅，加载很快,1.8.0,2026-07-23,100,电商,低风险
5,搜索准确，找东西方便多了,2.0.0,2026-07-27,77,电商,低风险
5,购物链路顺畅，下单方便,2.1.0,2026-07-20,74,搜索,低风险
2,内容审核乱封号，误伤严重,1.8.0,2026-06-18,18,账号,高风险
4,购物链路顺畅，下单方便,2.0.0,2026-06-04,72,搜索,中风险
3,用了一阵子，感觉普通,2.1.0,2026-06-08,32,其他,低风险
5,视频流畅，加载很快,1.8.0,2026-06-05,62,电商,中风险
3,用了一阵子，感觉普通,1.9.0,2026-07-14,38,内容,中风险
4,直播体验不错，带货实在,2.0.0,2026-06-13,93,内容,低风险
5,界面简洁，用起来很顺手,2.0.0,2026-06-14,70,内容,中风险
2,搜索功能越来越难用,1.9.0,2026-06-22,12,功能,高风险
3,界面还可以，就是偶尔卡顿,1.9.0,2026-06-19,34,内容,低风险
2,隐私设置形同虚设,2.1.0,2026-07-22,7,内容,高风险
2,更新后经常闪退，体验很差,2.1.0,2026-06-25,6,广告,高风险
2,笔记被限流，流量骤降,1.8.0,2026-07-20,11,内容,高风险
5,界面简洁，用起来很顺手,1.8.0,2026-06-08,60,电商,低风险
5,购物链路顺畅，下单方便,2.1.0,2026-07-08,88,搜索,中风险
4,社区氛围好，互动很积极,2.0.0,2026-06-08,96,搜索,低风险
2,客服完全联系不上，太失望了,2.0.0,2026-06-11,22,内容,中风险
2,搜索功能越来越难用,2.0.0,2026-07-02,2,广告,高风险
1,更新后经常闪退，体验很差,1.9.0,2026-06-06,3,广告,高风险
3,功能还行，中规中矩,1.8.0,2026-06-28,43,内容,低风险
2,无故封号，申诉没人理,1.9.0,2026-07-09,16,内容,高风险
1,评论区被水军刷屏,2.1.0,2026-06-22,25,功能,低风险
3,界面还可以，就是偶尔卡顿,2.0.0,2026-07-25,58,功能,低风险
3,界面还可以，就是偶尔卡顿,2.1.0,2026-07-09,31,内容,中风险
4,搜索准确，找东西方便多了,1.8.0,2026-07-23,69,电商,低风险
5,笔记质量高，信息量很大,2.1.0,2026-06-17,93,社区,低风险
2,内容审核乱封号，误伤严重,2.0.0,2026-07-22,24,账号,低风险
5,攻略很实用，收藏了很多,2.0.0,2026-07-18,67,搜索,低风险
2,评论区被水军刷屏,2.0.0,2026-06-04,1,内容,高风险
4,搜索准确，找东西方便多了,2.0.0,2026-06-19,69,社区,低风险
3,界面还可以，就是偶尔卡顿,2.0.0,2026-07-11,25,功能,低风险
5,内容丰富，种草体验很好,1.8.0,2026-06-22,81,社区,低风险
4,购物链路顺畅，下单方便,1.8.0,2026-06-05,90,功能,中风险
3,功能还行，中规中矩,2.1.0,2026-06-14,60,功能,低风险
4,直播体验不错，带货实在,2.1.0,2026-07-07,79,社区,低风险
4,攻略很实用，收藏了很多,1.8.0,2026-07-28,76,电商,低风险
4,内容丰富，种草体验很好,1.9.0,2026-06-29,75,内容,低风险
5,购物链路顺畅，下单方便,2.1.0,2026-06-18,61,社区,低风险
1,更新后经常闪退，体验很差,1.8.0,2026-06-09,15,内容,高风险
4,社区氛围好，互动很积极,2.1.0,2026-06-18,75,功能,低风险
2,隐私设置形同虚设,2.0.0,2026-06-10,24,内容,中风险
4,直播体验不错，带货实在,2.1.0,2026-07-01,74,功能,低风险
4,直播体验不错，带货实在,1.8.0,2026-06-04,84,搜索,低风险
5,界面简洁，用起来很顺手,1.8.0,2026-07-19,84,社区,低风险
1,客服完全联系不上，太失望了,2.0.0,2026-06-04,14,内容,高风险
2,搜索功能越来越难用,2.1.0,2026-06-20,14,功能,高风险
4,直播体验不错，带货实在,1.9.0,2026-07-29,98,功能,低风险
2,搜索功能越来越难用,2.0.0,2026-07-15,25,账号,低风险
4,界面简洁，用起来很顺手,2.1.0,2026-06-18,80,搜索,低风险
1,评论区被水军刷屏,2.0.0,2026-06-17,4,账号,高风险
2,评论区被水军刷屏,2.0.0,2026-07-22,22,广告,中风险
5,视频流畅，加载很快,1.9.0,2026-07-12,92,社区,低风险
5,购物链路顺畅，下单方便,1.9.0,2026-07-25,66,社区,低风险
5,购物链路顺畅，下单方便,2.1.0,2026-06-24,86,内容,低风险
4,笔记质量高，信息量很大,2.1.0,2026-07-27,78,内容,中风险
4,内容丰富，种草体验很好,2.1.0,2026-06-16,71,功能,低风险
5,购物链路顺畅，下单方便,1.8.0,2026-07-05,71,社区,低风险
3,一般般，没有惊喜,1.8.0,2026-07-13,30,内容,中风险
4,直播体验不错，带货实在,1.8.0,2026-06-02,93,功能,低风险
1,搜索功能越来越难用,2.1.0,2026-06-24,0,客服,高风险
4,社区氛围好，互动很积极,2.0.0,2026-06-15,80,内容,低风险
5,直播体验不错，带货实在,2.1.0,2026-06-23,89,内容,低风险
5,推荐算法不错，经常有好物,2.0.0,2026-07-26,88,内容,中风险
4,购物链路顺畅，下单方便,1.8.0,2026-07-30,67,功能,低风险
4,内容丰富，种草体验很好,2.0.0,2026-07-26,80,社区,低风险
3,用了一阵子，感觉普通,2.0.0,2026-07-30,25,内容,低风险
3,偶尔用用，没啥特别感觉,2.1.0,2026-06-02,25,其他,低风险
2,客服完全联系不上，太失望了,1.8.0,2026-07-23,22,账号,低风险
2,更新后经常闪退，体验很差,2.0.0,2026-06-25,4,客服,高风险
4,界面简洁，用起来很顺手,1.9.0,2026-07-03,60,社区,低风险
4,搜索准确，找东西方便多了,1.9.0,2026-06-19,81,搜索,低风险
4,搜索准确，找东西方便多了,2.0.0,2026-06-25,81,社区,低风险
5,界面简洁，用起来很顺手,2.1.0,2026-06-22,65,搜索,低风险
5,直播体验不错，带货实在,2.0.0,2026-07-01,94,社区,低风险
3,用了一阵子，感觉普通,1.9.0,2026-07-15,50,功能,低风险
5,内容丰富，种草体验很好,1.9.0,2026-07-14,69,社区,中风险
3,功能还行，中规中矩,1.8.0,2026-06-18,59,功能,低风险
3,一般般，没有惊喜,2.0.0,2026-06-03,27,内容,低风险
2,更新后经常闪退，体验很差,2.0.0,2026-07-26,23,客服,低风险
3,功能还行，中规中矩,2.0.0,2026-06-27,51,功能,低风险
5,推荐算法不错，经常有好物,2.1.0,2026-06-28,98,电商,低风险
4,推荐算法不错，经常有好物,1.8.0,2026-06-28,73,内容,低风险
4,推荐算法不错，经常有好物,1.8.0,2026-06-30,78,搜索,中风险
3,功能还行，中规中矩,1.9.0,2026-06-21,25,其他,中风险
5,搜索准确，找东西方便多了,2.0.0,2026-06-18,64,内容,中风险
3,界面还可以，就是偶尔卡顿,2.1.0,2026-06-06,55,功能,低风险
2,内容审核乱封号，误伤严重,1.8.0,2026-06-03,8,内容,高风险
2,无故封号，申诉没人理,2.0.0,2026-07-05,4,客服,高风险
2,客服完全联系不上，太失望了,1.9.0,2026-07-12,21,广告,低风险
5,社区氛围好，互动很积极,1.8.0,2026-07-21,73,内容,中风险
4,购物链路顺畅，下单方便,2.1.0,2026-07-10,68,内容,中风险
4,内容丰富，种草体验很好,2.0.0,2026-06-28,79,社区,低风险
1,搜索功能越来越难用,2.0.0,2026-06-15,18,广告,高风险
3,一般般，没有惊喜,2.1.0,2026-06-02,58,功能,低风险
3,一般般，没有惊喜,1.8.0,2026-07-15,29,功能,低风险
4,搜索准确，找东西方便多了,1.9.0,2026-07-04,91,电商,中风险
3,用了一阵子，感觉普通,2.1.0,2026-07-10,54,其他,低风险
5,推荐算法不错，经常有好物,1.9.0,2026-06-14,65,搜索,低风险
5,社区氛围好，互动很积极,2.1.0,2026-07-30,70,电商,中风险
1,内容审核乱封号，误伤严重,1.9.0,2026-06-26,22,客服,低风险
3,功能还行，中规中矩,2.0.0,2026-07-10,45,内容,低风险
3,界面还可以，就是偶尔卡顿,1.9.0,2026-06-19,41,其他,中风险
5,推荐算法不错，经常有好物,1.9.0,2026-06-18,65,搜索,低风险
5,视频流畅，加载很快,2.0.0,2026-06-16,78,内容,低风险
3,偶尔用用，没啥特别感觉,2.0.0,2026-06-23,42,功能,中风险
5,社区氛围好，互动很积极,1.9.0,2026-06-28,83,功能,低风险
5,搜索准确，找东西方便多了,1.9.0,2026-07-19,61,搜索,低风险
5,推荐算法不错，经常有好物,2.1.0,2026-07-10,66,社区,中风险
2,隐私设置形同虚设,1.8.0,2026-07-18,5,内容,高风险
4,笔记质量高，信息量很大,2.1.0,2026-07-22,81,电商,低风险
5,笔记质量高，信息量很大,2.1.0,2026-07-02,91,内容,中风险
5,内容丰富，种草体验很好,2.1.0,2026-06-09,79,电商,中风险
4,笔记质量高，信息量很大,2.1.0,2026-06-17,69,内容,中风险
4,直播体验不错，带货实在,2.0.0,2026-06-22,100,搜索,低风险
1,客服完全联系不上，太失望了,1.9.0,2026-06-12,4,账号,高风险
5,笔记质量高，信息量很大,1.9.0,2026-07-06,92,内容,低风险
2,搜索功能越来越难用,2.0.0,2026-07-15,9,账号,高风险
2,评论区被水军刷屏,1.8.0,2026-07-28,9,客服,高风险
5,攻略很实用，收藏了很多,2.1.0,2026-06-11,74,搜索,低风险
3,功能还行，中规中矩,1.9.0,2026-07-13,52,功能,低风险
3,界面还可以，就是偶尔卡顿,1.9.0,2026-07-07,26,功能,低风险
5,社区氛围好，互动很积极,1.8.0,2026-06-21,70,功能,中风险
2,更新后经常闪退，体验很差,1.9.0,2026-07-23,14,内容,高风险
5,攻略很实用，收藏了很多,1.9.0,2026-06-12,65,内容,中风险
3,功能还行，中规中矩,2.1.0,2026-06-20,52,其他,中风险
5,界面简洁，用起来很顺手,1.8.0,2026-07-15,82,社区,低风险
4,直播体验不错，带货实在,2.1.0,2026-07-13,85,搜索,低风险
5,笔记质量高，信息量很大,1.8.0,2026-06-28,71,搜索,低风险
3,偶尔用用，没啥特别感觉,2.0.0,2026-06-21,31,功能,低风险
3,用了一阵子，感觉普通,2.1.0,2026-06-06,47,其他,低风险
5,社区氛围好，互动很积极,1.8.0,2026-06-15,80,社区,中风险
3,用了一阵子，感觉普通,1.9.0,2026-07-25,27,功能,低风险
3,功能还行，中规中矩,2.1.0,2026-07-16,46,其他,低风险
4,社区氛围好，互动很积极,2.1.0,2026-07-04,82,功能,中风险
4,笔记质量高，信息量很大,2.1.0,2026-07-19,94,电商,低风险
5,直播体验不错，带货实在,2.1.0,2026-06-28,86,电商,中风险
5,直播体验不错，带货实在,1.9.0,2026-06-20,67,搜索,中风险
1,笔记被限流，流量骤降,2.1.0,2026-07-08,7,功能,高风险
4,社区氛围好，互动很积极,1.9.0,2026-06-15,66,电商,低风险
5,搜索准确，找东西方便多了,2.0.0,2026-07-06,63,内容,中风险
4,直播体验不错，带货实在,1.9.0,2026-07-28,90,社区,低风险
5,搜索准确，找东西方便多了,1.8.0,2026-07-13,60,内容,低风险
5,搜索准确，找东西方便多了,1.9.0,2026-07-15,93,社区,低风险
5,购物链路顺畅，下单方便,1.9.0,2026-06-13,97,内容,中风险
2,评论区被水军刷屏,1.9.0,2026-07-26,25,广告,低风险
5,攻略很实用，收藏了很多,1.8.0,2026-07-10,84,电商,低风险
5,购物链路顺畅，下单方便,2.0.0,2026-06-28,72,功能,低风险
2,评论区被水军刷屏,1.9.0,2026-07-16,13,广告,高风险
3,用了一阵子，感觉普通,2.1.0,2026-07-07,33,其他,低风险
4,推荐算法不错，经常有好物,1.9.0,2026-07-08,82,搜索,低风险
5,搜索准确，找东西方便多了,1.9.0,2026-06-03,99,内容,低风险
4,内容丰富，种草体验很好,2.0.0,2026-07-26,92,内容,低风险
4,社区氛围好，互动很积极,2.1.0,2026-06-30,72,社区,低风险
1,账号莫名被禁言，没有任何通知,2.0.0,2026-06-23,10,功能,高风险
5,推荐算法不错，经常有好物,2.0.0,2026-06-01,100,内容,低风险
3,偶尔用用，没啥特别感觉,2.0.0,2026-06-28,60,功能,中风险
5,视频流畅，加载很快,2.1.0,2026-07-26,82,内容,低风险
3,功能还行，中规中矩,1.9.0,2026-07-03,54,内容,中风险
4,社区氛围好，互动很积极,1.8.0,2026-06-23,73,电商,低风险
4,笔记质量高，信息量很大,2.0.0,2026-07-02,66,功能,中风险
2,笔记被限流，流量骤降,2.1.0,2026-07-01,18,账号,高风险
5,攻略很实用，收藏了很多,1.8.0,2026-06-24,64,搜索,低风险
5,购物链路顺畅，下单方便,1.8.0,2026-06-18,68,功能,低风险
5,社区氛围好，互动很积极,2.1.0,2026-06-14,86,内容,低风险
5,笔记质量高，信息量很大,2.1.0,2026-07-12,86,功能,中风险
3,用了一阵子，感觉普通,2.0.0,2026-07-01,37,内容,中风险
4,社区氛围好，互动很积极,1.8.0,2026-06-03,99,社区,低风险
3,功能还行，中规中矩,2.0.0,2026-07-06,28,功能,中风险
4,内容丰富，种草体验很好,2.1.0,2026-07-19,68,社区,低风险
4,直播体验不错，带货实在,2.0.0,2026-07-05,66,内容,低风险
5,笔记质量高，信息量很大,1.8.0,2026-07-26,75,社区,中风险
4,内容丰富，种草体验很好,2.0.0,2026-07-18,60,社区,低风险
5,界面简洁，用起来很顺手,2.0.0,2026-07-29,99,电商,中风险
3,偶尔用用，没啥特别感觉,1.9.0,2026-07-20,52,其他,低风险
5,攻略很实用，收藏了很多,2.1.0,2026-06-12,75,内容,低风险
4,界面简洁，用起来很顺手,2.0.0,2026-07-12,73,搜索,低风险
